block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006507875000011154,0.010634209000045303,0.010634209000045303,0.7444931669999733,space,0.7136492910000243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7445503339999959,0.7619583749999492,0.9545551249999562,,,,,,,,,,,,,,,,,,,,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9545905420000054,0.9575973749999775,0.9575973749999775,1.6059581670000398,space,0.6357490830000643,None,,,,,,,,,,,,,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6060062499999503,1.6175604589999466,1.8052339590000201,,,,,,,,1.8175380000000132,,,,,,,,,,,,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.41030254200006766,None,0,0,0,0,0,0,0,0,2.819487333999973,,,,,,,,,3.2396200839999665,3.24484587500001,3.4389230000000452,,,,,,,,3.443294208999987,1.8120075419999466,1.8175380000000132,2.819487333999973,2.805260999999973,2.8170955000000504,2.819487333999973,2.819487333999973,3.2395646249999572,space,0.41030254200006766,None,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.2821377920000714,None,0,0,0,0,0,1,1,1,3.443294208999987,,,,,,,,,3.727102833999993,3.736998584000048,3.922084625000025,,,,,,,,3.9265676249999615,,,,,3.4405203750000055,3.443294208999987,3.443294208999987,3.727054917000032,space,0.2821377920000714,None,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.24669395800003713,None,0,0,0,0,0,2,2,2,3.9265676249999615,,,,,,,,,4.176979458999995,4.187076458999968,4.372125167000036,,,,,,,,4.376779749999969,,,,,3.923908417000007,3.9265676249999615,3.9265676249999615,4.176934374999973,space,0.24669395800003713,None,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.2475574999999708,None,0,0,0,0,0,3,3,3,4.376779749999969,,,,,,,,,4.626891958999977,4.636573958999975,4.822074250000014,,,,,,,,4.82637016700005,,,,,4.373979333999955,4.376779749999969,4.376779749999969,4.6268472919999795,space,0.2475574999999708,None,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.23409683299996686,None,0,0,0,0,0,4,4,4,4.82637016700005,,,,,,,,,5.072806499999956,5.077935791999948,5.272151334,,,,,,,,5.276319875000013,,,,,4.823661916999981,4.82637016700005,4.82637016700005,5.072761417000038,space,0.23409683299996686,None,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.23244737499999246,None,0,0,0,0,0,5,5,5,5.276319875000013,,,,,,,,,5.5219387920000145,5.525644416999967,5.721225249999975,,,,,,,,5.740390374999947,,,,,5.2736877920000325,5.276319875000013,5.276319875000013,5.521897875000036,space,0.23244737499999246,None,,,,,,,,910852,001,2025-08-01_16h59.36.037,TIST,2024.2.4,None,2025-08-01 16h59.40.913783 +0800,
